PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Balakrishnan, Jaydeep; Cheng, Chun Hung				Cheng, Chun-Hung/F-6113-2011				The dynamic plant layout problem: Incorporating rolling horizons and forecast uncertainty								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	1			165	177		10.1016/j.omega.2006.11.005					FEB 2009	2009										31	2	0	1	0	33			0305-0483			WOS:000259436300015		
J	Yan, Shangyao; Tang, Ching-Hui								Inter-city bus scheduling under variable market share and uncertain market demands								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	1			178	192		10.1016/j.omega.2006.11.008					FEB 2009	2009										7	0	0	0	1	8			0305-0483			WOS:000259436300016		
J	Franco, L. Alberto					Franco, Luis Alberto/0000-0001-6231-8565			Problem structuring methods as intervention tools: Reflections from their use with multi-organisational teams								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	1			193	203		10.1016/j.omega.2006.08.001					FEB 2009	2009										25	0	0	1	0	25			0305-0483			WOS:000259436300017		
J	Jessop, Alan								A multicriteria blockmodel for performance assessment								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	1			204	214		10.1016/j.omega.2006.08.004					FEB 2009	2009										6	0	0	1	1	6			0305-0483			WOS:000259436300018		
J	Wang, Shih-Yuan; Chang, Sheng-Lin; Wang, Reay-Chen								Assessment of supplier performance based on product-development strategy by applying multi-granularity linguistic term sets								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	1			215	226		10.1016/j.omega.2006.10.003					FEB 2009	2009										29	1	0	0	2	32			0305-0483			WOS:000259436300019		
J	Day, Jamison M.; Wright, P. Daniel; Schoenherr, Tobias; Venkataramanan, Munirpallam; Gaudette, Kevin				Schoenherr, Tobias/A-9412-2009	Schoenherr, Tobias/0000-0003-4958-189X			Improving routing and scheduling decisions at a distributor of industrial gasses								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	1			227	237		10.1016/j.omega.2006.11.007					FEB 2009	2009										19	2	0	0	0	21			0305-0483			WOS:000259436300020		
J	Geldermann, Jutta; Bertsch, Valentin; Treitz, Martin; French, Simon; Papamichail, Konstantinia N.; Hamalainen, Raimo P.					Papamichail, Konstantinia/0000-0001-8307-9620			Multi-criteria decision support and evaluation of strategies for nuclear remediation management								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	1			238	251		10.1016/j.omega.2006.11.006					FEB 2009	2009										53	1	0	5	0	54			0305-0483			WOS:000259436300021		
J	Yousefi, Ali								A fuzzy set approach for R&D portfolio selection using a real options valuation model (vol 35, pg 247, 2007)								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	1			252	252		10.1016/j.omega.2007.01.001					FEB 2009	2009										1	0	0	0	0	1			0305-0483			WOS:000259436300022		
J	Wang, John; Yan, Ruiliang; Hollister, Kimberly; Zhu, Dan								A historic review of management science research in China								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				36	6			919	932		10.1016/j.omega.2007.10.004					DEC 2008	2008										24	5	0	2	0	27			0305-0483			WOS:000255311800001		
J	Li, Yongjun; Liang, Liang; Chen, Yao; Morita, Hiroshi								Models for measuring and benchmarking olympics achievements								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				36	6			933	940		10.1016/j.omega.2007.05.003					DEC 2008	2008										33	0	0	0	2	35			0305-0483			WOS:000255311800002		
